,과목이름,교수님,평점,과제,팀플,학점 비율
135,무선통신,Nhu Ngoc DAO,4,보통,보통,학점느님
136,공학설계기초(산학프로젝트입문),Nhu Ngoc DAO,3.33,없음,없음,매우 깐깐함
137,멀티미디어,Shake Md Riazul Islam,4.5,보통,보통,학점느님
138,확률통계및프로그래밍,Shake Md Riazul Islam,4.25,보통,보통,학점느님
139,영상처리,Shake Md Riazul Islam,4,보통,없음,학점느님
140,문제해결및실습:C++,Shake Md Riazul Islam,2,보통,없음,학점느님
141,C#프로그래밍,Rajendra Dhakal,5,보통,없음,비율 채워줌
142,문제해결및실습:C++,Rajendra Dhakal,4.5,보통,없음,비율 채워줌
143,소프트웨어공학,Rajendra Dhakal,4,보통,보통,비율 채워줌
144,디지털시스템,Rajendra Dhakal,4,보통,없음,비율 채워줌
145,문제해결및실습:JAVA,Rajendra Dhakal,3.5,보통,보통,비율 채워줌
146,C프로그래밍및실습,Rajendra Dhakal,1.67,보통,보통,비율 채워줌
147,고급C프로그래밍및실습,김도년,4.27,보통,없음,비율 채워줌
148,디지털시스템,김도년,4.22,보통,없음,비율 채워줌
149,C프로그래밍및실습,김도년,3.92,보통,없음,비율 채워줌
150,고급프로그래밍입문-P,김도년,3,보통,없음,매우 깐깐함
151,고급프로그래밍입문-C,김도년,2.6,보통,없음,비율 채워줌
152,C#프로그래밍,김도년,2.5,보통,없음,비율 채워줌
153,고급프로그래밍입문-P,김도년,1.4,보통,없음,매우 깐깐함
154,C프로그래밍,임필옥,5,보통,없음,학점느님
155,자료구조및실습,임필옥,5,보통,없음,비율 채워줌
156,알고리즘및실습,임필옥,4.91,보통,없음,비율 채워줌
157,고급C프로그래밍및실습,임필옥,4.86,많음,없음,비율 채워줌
158,C프로그래밍및실습,임필옥,4.64,보통,없음,비율 채워줌
159,마이크로컴퓨터,송상훈,5,보통,많음,비율 채워줌
160,디지털시스템,송상훈,4.86,보통,보통,비율 채워줌
161,컴퓨터구조,송상훈,4.57,보통,없음,학점느님
162,컴퓨터구조론,송상훈,4.25,보통,보통,비율 채워줌
163,고급프로그래밍입문-C,송상훈,3.64,많음,없음,비율 채워줌
164,고급프로그래밍입문-C,송상훈,2,보통,없음,매우 깐깐함
165,선형대수,노용덕,5,보통,없음,학점느님
166,C#프로그래밍,노용덕,3,보통,없음,비율 채워줌
167,확률및통계,노용덕,3,없음,없음,학점느님
168,취업역량개발론,권순일,5,없음,없음,학점느님
169,패턴인식개론,권순일,4.5,없음,보통,학점느님
170,Capstone디자인(산학협력프로젝트),권순일,4,보통,보통,비율 채워줌
171,디지털사운드,권순일,3.83,보통,없음,비율 채워줌
172,Capstone디자인(산학협력프로젝트),권순일,2.5,없음,많음,매우 깐깐함
173,패턴인식,권순일,1.5,많음,없음,매우 깐깐함
174,인공지능,김원일,2.5,없음,없음,비율 채워줌
175,HCI개론,김원일,2.5,보통,없음,비율 채워줌
176,컴퓨터구조,김원일,2.5,없음,없음,비율 채워줌
177,컴퓨터네트워크,김원일,2.45,없음,없음,비율 채워줌
178,지능형시스템,김원일,2.33,없음,없음,비율 채워줌
179,운영체제,김원일,2,없음,없음,비율 채워줌
180,K-MOOC:코딩과스토리텔링,백성욱,4.72,보통,없음,학점느님
181,소프트웨어기초코딩,백성욱,3.68,많음,없음,비율 채워줌
182,컴퓨팅사고기반기초코딩,백성욱,3.18,보통,없음,비율 채워줌
183,프로그래밍입문-P,백성욱,2.85,많음,없음,매우 깐깐함
184,ES-기초프로그래밍,이종원,5,많음,없음,학점느님
185,ES-비주얼프로그래밍,이종원,4.5,보통,보통,학점느님
186,고급프로그래밍입문-C,이종원,4.33,보통,없음,비율 채워줌
187,컴퓨터그래픽스1,이종원,4,보통,없음,비율 채워줌
188,고급프로그래밍입문,이종원,4,보통,없음,비율 채워줌
189,선형대수,이종원,4,보통,보통,비율 채워줌
190,ES-엔터테인먼트SW미디어프로젝트캡스톤디자인,이종원,4,많음,많음,비율 채워줌
191,가상현실,이종원,3.5,보통,보통,매우 깐깐함
192,소프트웨어기초코딩,이종원,3.4,보통,없음,비율 채워줌
193,전산개론-C,이종원,3.33,많음,없음,매우 깐깐함
194,선형대수및프로그래밍,이종원,3.05,많음,없음,매우 깐깐함
195,ES-비주얼프로그래밍,이종원,3,많음,보통,비율 채워줌
196,고급프로그래밍입문-C,이종원,3,많음,없음,비율 채워줌
197,SM-소셜미디어기초프로그래밍,이종원,3,보통,없음,매우 깐깐함
198,고급프로그래밍입문-C,이종원,2.61,보통,없음,비율 채워줌
199,대학생활과진로설계,이종원,2,없음,없음,학점느님
200,고급프로그래밍입문-C,이종원,2,보통,없음,매우 깐깐함
201,졸업연구및진로2,송오영,5,없음,없음,학점느님
202,졸업연구및진로1,송오영,5,없음,없음,비율 채워줌
203,알고리즘,송오영,4,보통,보통,비율 채워줌
204,알고리즘및실습,송오영,3.9,보통,없음,비율 채워줌
205,고급프로그래밍입문-P,송오영,3.75,보통,없음,학점느님
206,K-MOOC:일반인을위한물리코딩,송오영,3.7,보통,없음,학점느님
207,일반물리및시뮬레이션,송오영,3.29,보통,없음,비율 채워줌
208,컴퓨터그래픽스,송오영,3.27,보통,없음,비율 채워줌
209,컴퓨팅사고기반기초코딩,송오영,3,보통,없음,비율 채워줌
210,고급프로그래밍입문-P,송오영,2.67,보통,보통,비율 채워줌
211,데이터구조론,최준연,5,많음,없음,비율 채워줌
212,SW설계기초(산학프로젝트입문),최준연,4.4,많음,많음,비율 채워줌
213,자료구조및실습,최준연,4.31,보통,없음,비율 채워줌
214,문제해결및실습:C++,박상일,4.66,보통,없음,비율 채워줌
215,멀티미디어프로그래밍,박상일,4.52,보통,없음,비율 채워줌
216,컴퓨터그래픽스2,박상일,4.5,보통,없음,비율 채워줌
217,JAVA프로그래밍,박상일,4,보통,없음,비율 채워줌
218,문제해결및실습:JAVA,박상일,3.85,많음,없음,비율 채워줌
219,앱프로그래밍,변재욱,5,보통,없음,학점느님
220,데이터베이스프로그래밍,변재욱,5,없음,없음,학점느님
